customer_id,first_name,last_name,date_of_birth,ssn_hash,email,phone_primary,customer_since,customer_status,segment_code,branch_id,created_ts,updated_ts
1,Danielle,Dean,2002-07-13,sha256_000000,user0@example.com,555-826-7629,2024-02-24,I,DIGITAL,411,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
2,Angel,Johnson,1956-09-07,sha256_000001,user1@example.com,555-601-8976,2013-06-08,A,PREMIER,368,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
3,Joshua,Long,1964-09-05,sha256_000002,user2@example.com,555-215-9288,2007-04-02,A,DIGITAL,471,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
4,Jeffrey,Elliott,1979-02-14,sha256_000003,user3@example.com,555-864-5532,2009-02-22,A,PREMIER,484,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
5,Jill,Johnson,1979-07-07,sha256_000004,user4@example.com,555-759-5681,2020-12-15,A,PREMIER,381,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
6,Erica,Day,1951-01-07,sha256_000005,user5@example.com,555-341-8198,2017-05-18,A,PREMIER,248,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
7,Patricia,Taylor,2002-10-02,sha256_000006,user6@example.com,555-321-3829,2015-11-04,A,STANDARD,339,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
8,Christopher,Murray,1961-10-24,sha256_000007,user7@example.com,555-566-8535,2021-06-24,A,DIGITAL,270,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
9,Robert,Williams,1995-01-07,sha256_000008,user8@example.com,555-445-5446,2021-01-23,A,STANDARD,351,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
10,Anthony,Gray,2002-03-14,sha256_000009,user9@example.com,555-137-2042,2021-09-13,A,PREMIER,424,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
11,Jeffery,Lewis,1973-04-03,sha256_000010,user10@example.com,555-150-1648,2006-08-13,A,PREMIER,247,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
12,William,Murphy,1943-03-09,sha256_000011,user11@example.com,555-880-8577,2011-07-25,A,BASIC,302,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
13,Anthony,Juarez,1959-03-31,sha256_000012,user12@example.com,555-838-1500,2009-09-03,A,BASIC,118,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
14,James,Gray,1957-07-18,sha256_000013,user13@example.com,555-169-3525,2010-02-27,I,DIGITAL,394,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
15,Debra,Walton,1960-06-20,sha256_000014,user14@example.com,555-608-4006,2007-04-28,A,PREMIER,295,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
16,Amy,Decker,1955-11-16,sha256_000015,user15@example.com,555-538-2556,2024-04-25,A,BASIC,283,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
17,Jeffrey,King,1974-02-22,sha256_000016,user16@example.com,555-756-3824,2008-11-11,A,DIGITAL,312,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
18,Bridget,Miller,1999-12-05,sha256_000017,user17@example.com,555-159-7683,2025-02-01,A,STANDARD,186,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
19,Lisa,Smith,1952-04-12,sha256_000018,user18@example.com,555-911-1132,2016-12-12,A,PREMIER,339,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
20,Adam,Ryan,1978-05-08,sha256_000019,user19@example.com,555-492-8443,2014-07-31,A,BASIC,398,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
21,Linda,Cooke,1975-01-02,sha256_000020,user20@example.com,555-734-8708,2019-04-16,A,STANDARD,239,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
22,Helen,Bell,1983-09-06,sha256_000021,user21@example.com,555-473-4349,2023-07-03,A,PREMIER,152,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
23,Matthew,Santos,1996-04-13,sha256_000022,user22@example.com,555-737-2382,2022-08-01,A,PREFERRED,254,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
24,Eric,Harrington,1946-06-15,sha256_000023,user23@example.com,555-315-6406,2009-12-30,A,STANDARD,179,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
25,Susan,Pearson,1956-03-05,sha256_000024,user24@example.com,555-700-2076,2020-01-25,A,PREMIER,249,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
26,Matthew,Webster,1965-05-25,sha256_000025,user25@example.com,555-556-4283,2020-03-26,A,PREFERRED,350,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
27,Christopher,Herring,1981-07-24,sha256_000026,user26@example.com,555-551-9624,2008-01-13,A,STANDARD,145,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
28,Colin,Gonzalez,1953-06-02,sha256_000027,user27@example.com,555-168-9958,2023-07-20,C,BASIC,398,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
29,Melanie,Smith,1971-12-27,sha256_000028,user28@example.com,555-504-7948,2008-03-12,A,PREMIER,189,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
30,Cassandra,Hernandez,1978-10-26,sha256_000029,user29@example.com,555-481-3798,2008-01-30,A,STANDARD,457,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
31,Lindsay,Martinez,1978-05-07,sha256_000030,user30@example.com,555-792-7188,2014-07-01,A,BASIC,392,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
32,Jessica,Caldwell,1993-04-16,sha256_000031,user31@example.com,555-229-7347,2023-02-12,A,BASIC,209,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
33,Amanda,Elliott,2002-05-03,sha256_000032,user32@example.com,555-777-4490,2023-04-23,A,BASIC,325,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
34,Teresa,Robinson,1971-05-17,sha256_000033,user33@example.com,555-932-6767,2020-09-29,A,PREMIER,144,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
35,Nicholas,Lyons,1949-01-21,sha256_000034,user34@example.com,555-399-1096,2014-12-02,C,BASIC,139,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
36,Andrea,Wang,2004-03-26,sha256_000035,user35@example.com,555-706-2881,2023-05-10,I,BASIC,482,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
37,Maria,Jackson,1951-01-15,sha256_000036,user36@example.com,555-780-5725,2017-05-05,A,PREFERRED,420,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
38,Christine,Lawson,1953-02-03,sha256_000037,user37@example.com,555-519-2473,2024-02-11,A,STANDARD,161,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
39,Michelle,Adkins,1989-12-22,sha256_000038,user38@example.com,555-739-2492,2015-08-29,C,STANDARD,213,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
40,Barbara,Wilson,1966-03-19,sha256_000039,user39@example.com,555-475-8525,2025-12-28,A,STANDARD,179,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
41,Janet,Weiss,1997-06-11,sha256_000040,user40@example.com,555-927-9901,2012-04-19,A,PREFERRED,258,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
42,Brandon,Oconnell,1957-09-30,sha256_000041,user41@example.com,555-961-6003,2025-04-23,I,BASIC,216,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
43,Jeremy,Rodriguez,1961-08-08,sha256_000042,user42@example.com,555-280-8550,2022-07-14,A,BASIC,231,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
44,Keith,Johnson,1984-10-08,sha256_000043,user43@example.com,555-820-9911,2022-12-08,A,PREFERRED,311,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
45,Christopher,Collins,2003-12-17,sha256_000044,user44@example.com,555-685-2274,2009-11-14,A,BASIC,175,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
46,Jesse,Byrd,1943-07-07,sha256_000045,user45@example.com,555-552-5033,2025-05-07,C,PREFERRED,453,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
47,Craig,Rubio,1978-08-31,sha256_000046,user46@example.com,555-857-4532,2017-11-13,A,DIGITAL,391,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
48,Joshua,Sanders,1948-09-15,sha256_000047,user47@example.com,555-395-1720,2014-08-24,A,STANDARD,404,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
49,Cynthia,Espinoza,1963-02-12,sha256_000048,user48@example.com,555-851-7797,2016-02-21,A,STANDARD,167,2026-06-29 19:54:20.237607,2026-06-29 19:54:20.237609
